"","Hela-C-1","Hela-C-2","Hela-C-3","Hela-C-4","Hela-d-1","Hela-d-2","Hela-d-3","Hela-d-4"
"CFH",1.89793776409013,3.55887084145942,3.76613080902139,4.71758195619253,835.353066742976,859.692371792646,611.641655297863,766.80073531234
"NIPAL3",131.590351643582,136.660640312042,129.931512911238,137.48381700904,106.225692743268,110.644306331956,96.4074579354252,81.6365801853442
"SEMA3F",121.468016901768,143.778381994961,156.294428574388,171.854771261299,469.705444102884,524.51882457785,594.81582537517,490.305413136978
"BAD",41.7546308099829,30.606289236551,43.310504303746,53.9152223564861,26.0144553656982,27.3138664166753,30.0136425648022,28.1840574449403
"LAP3",151.202375205847,159.437413697382,144.054503445068,134.788055891215,1323.84672860998,1352.26786106964,1149.15870850387,1255.64835237458
"HECW1",30.3670042254421,40.5711275926374,25.4213829608944,24.2618500604187,22.4013365649068,28.2397601935118,27.2851296043656,19.4372809965105
"KLHL13",117.672141373588,136.660640312042,142.171438040557,119.287429463726,72.9849997759866,89.3487494647177,80.4911323328786,86.4959004344718
"CYP26B1",18.9793776409013,24.912095890216,28.2459810676604,21.5660889425944,15.175098963324,16.6660879830561,20.4638472032742,8.74677644842973
"DBNDD1",43.0199226527097,29.1827408999673,32.9536445789372,33.0230736933477,26.7370791258565,27.3138664166753,37.7444292860391,15.5498247972084
"CASP10",23.407899090445,33.4533859097186,15.0645232360856,32.3491334138917,95.3863363408934,95.8300059025728,88.6766712141883,76.2913279113038
"CFLAR",111.978328081318,121.00160860962,122.399251293195,107.156504433516,136.575890669916,134.717544529704,137.789904502046,120.025210153452
"TFPI",454.872417460268,531.695303714038,437.812706548737,423.908435777872,719.010641357492,692.568545073666,595.725329695316,724.038717120017
"SLC7A2",251.793076702624,213.532250487565,224.084783136773,188.703278247701,341.07841479471,330.544078330614,303.774442928604,311.968359993994
"PLXND1",370.730509918939,357.310632482526,389.794538733714,444.80058444101,302.779355506321,353.228475863107,399.727148703956,341.610213513672
"CAMKK1",142.34533230676,127.407576124247,159.119026681154,136.809876729583,99.7220789018431,86.5710681342083,109.140518417462,80.6647161355187
"ARHGAP33",8.2243969777239,4.98241917804319,20.7137194496176,14.8266861480337,10.116732642216,11.1107253220374,11.368804001819,10.6905045480808
"PDK4",562.422224092042,867.652711147807,708.974124798277,598.458968156996,313.618711908695,399.523164704929,381.991814461119,347.927329837538
"ZMYND10",6.32645921363377,8.54129001950261,7.53226161804278,10.7830444712972,5.05836632110799,6.48125643785517,6.36653024101865,7.28898037369145
"ST7",187.26319272356,190.043702933933,178.891213428516,175.898412938036,145.247375791815,138.42111963705,140.518417462483,151.610791772782
"HCCS",239.77280419672,213.532250487565,242.91543718188,192.072979644982,236.297969571759,222.214506440749,199.636198271942,204.09145046336
"SKAP2",79.7133860917855,84.7011260267342,59.3165602420869,59.3067445921347,52.7515344915547,57.4054141638601,50.9322419281492,42.7620181923232
"CCDC109B",44.2852144954364,44.1299984340968,42.3689716014906,46.5018792824693,50.5836632110798,48.1464763954955,44.1109595270578,42.7620181923232
"HOXA11",49.9790277877068,56.2301592950589,47.0766351127674,56.6109834743104,30.3501979266479,34.2580697429487,33.6516598453843,31.5855816193296
"MEOX1",347.955256749857,426.352726806839,435.929641144226,429.973898292977,229.794355730334,272.675717278335,252.387448840382,238.592624232167
"ACSM3",28.469066461352,29.1827408999673,24.479850258639,20.2182083836823,16.6203464836405,21.2955568672384,17.2805820827649,22.8388051708999
"FAM214B",22.1426072477182,32.0298375731348,29.1875137699158,26.9576111782431,36.8538117680725,37.4986979618763,40.0181900864029,38.3886299681083
"WDR54",98.0601178113235,108.901447748658,99.8024664390668,111.200146110253,85.2696036986775,104.625996782519,101.409731696226,81.1506481604314
"CROT",43.0199226527097,51.9595142853076,38.6028407924692,41.1103570468207,45.5252968899719,30.0915477471847,35.4706684856753,30.1277855445913
"PDK2",104.386577024957,107.477899412075,120.516185888684,153.658383715985,61.4230196134541,82.4045461384443,95.4979536152797,66.5726874130485
