"","GSM368649","GSM368650","GSM368651","GSM368652","GSM368653","GSM368654","GSM368655","GSM368656","GSM368657","GSM368658","GSM368659","GSM368660","GSM368639","GSM368640","GSM368641","GSM368642","GSM368643","GSM368644","GSM368645","GSM368646","GSM368648"
"CYTOR",116.882277290835,95.410896872664,117.703751329641,97.1766098135989,132.878126115672,68.6585141608816,131.28969277704,97.1766098135989,80.0917180689316,75.9504963474733,76.7055190459498,85.2340201419414,75.8446870594053,82.0651616500907,128.660213695763,88.1403141746964,91.9409890682492,132.19080846474,271.791083820858,191.563210490449,106.482683963601
"ADAM32",52.7052934841572,60.3019048636542,48.9403496127454,53.6546764213001,53.0516741127469,54.6805612513318,56.6745048717943,67.8644380626306,58.6404669465866,66.8283981403504,48.8097034118739,56.2645097837904,56.8934549463492,56.2645097837904,55.8527782830562,60.1296387667882,60.6214953641046,57.2991174140076,55.1710767523618,54.3060765509165,56.2645097837904
"TIMD4",77.144068719888,66.2088959775514,54.2869695428235,48.4869383680067,79.6030757531009,64.1768709345202,70.1172008017045,64.2873428467415,71.1265989519574,77.7895498024285,88.0376440778029,56.6050274231569,68.3943919988647,198.527265628568,54.3259677286834,55.6556021138374,102.12580070609,56.0205473585107,95.9100784767995,72.2174953778894,188.105663770176
"ATP6V1E2",96.8950595939441,97.0254684242832,95.6990417482017,88.2186734957612,96.7126328781772,93.5454966087018,96.8950595939441,96.8950595939441,94.4525685661751,96.8950595939441,80.8016795195831,109.800110248428,123.274626259768,94.8393840768709,109.689158855625,99.2847620131241,97.6442655628226,107.842257033015,97.8596505139018,88.2293017971774,94.0573106820133
"BEST4",23.889810983545,32.8842594274166,28.7540908887241,30.9147338571661,25.0594425961137,28.1967912992917,25.6822608483217,22.4558436770503,25.1169610286577,27.4097375749147,28.0224370409221,28.1670056157546,36.515201274762,33.4448984373375,190.469143483342,134.071494689593,22.7551117568261,31.0794797512348,54.1646838676612,25.6049886483072,28.9621445331056
"CORO6",70.7382172684191,83.0898451615571,73.5316603454717,89.5817942470275,74.9365650836973,69.637688360444,76.8086207832003,76.4808911466569,76.4567546594411,76.8086207832003,75.5865984513282,74.4094823025315,78.1987111611758,82.0472322693228,72.2878421456175,78.0490653074484,95.7800125308368,70.2464804173718,72.7440599475075,86.4388714446662,72.5074364601219
"RAX2",248.600784634155,272.952696190151,328.802946310512,255.655882285619,240.209146851827,271.381749989246,257.498450194033,300.036057650561,255.781725054727,272.596939036413,303.962611463839,257.124492646939,288.437127723977,250.154005824957,265.977356444172,220.410272498063,244.255590739086,309.571974256396,227.954958711292,229.539586361002,241.359846914816
"TRIOBP",120.445396779916,95.8846261310255,123.769112274483,161.229811778677,165.737297059776,120.29133348383,109.54107986404,78.6286229728586,118.841039478084,76.4043319656637,91.1728600214406,100.793254145635,69.3409980707954,189.962341238504,134.547520836222,120.196635480747,98.7597305605891,143.887795180589,118.841039478084,137.950257166408,152.217060881828
"CATSPER1",128.448652177937,126.804101652907,119.606630992109,123.086462433054,128.448652177937,122.260841211187,128.448652177937,116.13371014473,106.898393343284,108.795618024313,125.954718416346,106.014489136206,146.672274167621,142.921862759675,153.360455510411,154.297185915683,166.589940488347,136.949080840418,156.747301293485,159.395028246399,192.26864217439
"GSC",37.3820164226887,50.3150883254016,39.614017576777,33.4066552788448,36.3813309387789,41.4125354943189,38.4559697207232,36.7548388933928,35.4822338530388,34.9729828513384,48.0237897252033,34.3604650091029,44.6155336584405,38.4559697207232,38.8304467956996,33.9408375545342,38.4559697207232,38.8951454980761,43.5744818308727,38.4559697207232,40.0698013269335
