"","GSM505297","GSM505298","GSM505299","GSM505300","GSM505301","GSM505302","GSM505332","GSM505618","GSM505308","GSM505312","GSM505313","GSM505314","GSM505606","GSM505607","GSM505617","GSM505623"
"CYTOR",5.41764799613794,5.57025469445208,4.6408706908418,5.3932909353952,5.84008785723749,4.97263054904333,5.76702203521238,6.66903652573711,5.68060628251963,5.93867475936767,6.36014712740132,4.34737398963784,4.94979742502813,5.02576511305109,5.1114741447132,7.21397679942909
"ADAM32",3.08094877864027,2.54970736648961,2.01152177969261,2.93408693445732,2.07187283715401,2.26596952947389,2.44688450868402,1.81278247285533,1.84093605687675,2.58251683531437,2.44147882097614,2.4068033610005,1.96442447306572,3.12625885333865,2.10139336206552,2.12519307763641
"TIMD4",25.870732235814,28.2068429904288,24.0072622160064,22.536347467358,19.6154233750492,25.8210009917108,27.418173316372,26.6581355766197,20.8355993608439,22.8263437231527,23.1155081200305,23.5236202568672,24.8138270484328,21.0483212988499,27.0768129107234,18.8718161278391
"ATP6V1E2",8.66804787399788,13.7299305624621,16.4488800516768,13.0262973187799,7.12572807938638,6.75872629150337,8.99153406399284,9.11314511758569,8.49074639460684,15.7814651549088,7.16105778575993,9.37575019369557,13.6583983501589,13.0681947898429,9.83993709929122,8.30807597431776
"BEST4",3.02291518990209,3.17649661901405,2.78991953131739,2.87881967533999,3.12348996359368,2.60636165004495,2.81959603804882,3.15314847707983,2.39451284753287,3.16894260408453,2.41403425094121,2.27333786642886,2.77494533169237,1.828737824281,2.97223785670524,2.95525539756483
"CORO6",6.90449997024049,7.33295224830521,8.22950574917543,6.02941255762175,6.18697660463621,5.22703990674886,7.13355954869877,5.58164126615614,6.33205732557051,6.46924931997209,8.06829627362188,5.92136002330371,7.44426671355984,7.12621332415754,6.52423052782322,6.41473145154527
"RAX2",29.172766218464,23.4443248012582,18.5542803051178,19.9518258731874,21.6613180535248,18.0655057172474,19.8238736578913,29.1144231509716,24.2890920913918,25.4139663077053,23.0013554244897,30.9604094916873,20.3553760608479,25.6841577270757,20.7145555241454,22.7861221541343
"KLK8",2.86468255197422,4.3752196939165,2.86048104707528,3.21716421758101,2.68135916066447,2.58290559143732,3.15736441914901,3.97853557725241,2.81378781924206,3.38751943330829,3.02020981783801,2.54081220839236,2.95525539756483,2.78647695035672,3.08997980490773,3.10996522085351
"CFAP53",1.94882410031564,1.87023022274795,1.80522685034883,2.02799127582077,1.98494591691919,1.89235932090907,2.09569201919681,1.77938599733027,2.06748883697675,1.89708903054565,2.11540136360891,2.06064723549368,1.86478450445948,2.03602244569099,1.8099376884773,1.71596999078046
"CATSPER1",5.55362220931654,5.09702176784515,4.73682972513367,4.03803876001821,5.42697425754398,4.68459053231621,4.73473012896978,5.02395666040078,5.50051994087202,4.72169992438343,4.25723356278265,4.5529709719962,5.56317686173819,4.47983759863168,5.12490696143741,4.60698496045062
"GSC",2.96232160799066,3.77743178234139,2.59805711079059,3.51707321313038,2.95525539756483,2.74196295550783,2.9250502785443,2.8088916320647,2.66799137416383,3.3250487665464,3.31249292618967,3.75463159252913,3.39105393319014,3.26553392029593,3.5483371658091,3.04023443620033
"SP7",5.92003765944422,5.62385731712862,4.35346999671645,7.26519281484114,4.85075333212508,5.03985036707974,4.82699795879805,5.41576311030801,4.241936230581,5.31304394439486,4.67313300076063,6.27989074020293,4.97328295613404,8.83608732743759,4.15722692482969,4.95560325027783
"LEAP2",8.14698214134459,7.28569446699789,7.29582726316668,7.04537581147716,5.51245513753061,5.88889593553506,5.25087542831804,7.19215199011454,4.84964912132761,7.45183418978285,6.65314372322728,7.80839847929923,8.87308207562959,6.29871687904239,6.04647314520151,5.94205156590684
"CTCFL",3.41286538819021,2.39834943272198,2.35375936212807,1.92848446930076,2.3501819232791,2.242384938801,2.07594714112756,1.80916204118414,2.09663916161603,2.30884964024155,2.19249303420322,2.14676515099304,1.9881050185521,2.64296270244802,2.06285909264715,2.05854041859948
"TVP23C",13.4954240000094,13.0780213997692,12.7355295229525,11.4080657155753,14.5030573387604,11.5616522397855,12.0737256645249,13.6244322532214,10.4007429823034,12.5095162429532,12.3526839022947,15.0699682466589,12.4835707849314,10.0973713208809,11.5126913751585,11.5682539783436
"RDH10",2.56654938349809,2.79569507321613,2.47232304421603,2.49353172314736,2.68420857757463,2.6201652886611,2.77943662593508,2.44873525733557,2.4098355971137,2.50884961047187,2.59036279624682,2.2358715879361,2.70211942947626,2.57370827666928,2.82820156471473,2.90422783041945
"GAPT",2.84691409977714,3.04806245202726,3.721142748958,2.75271692982874,2.79638638644217,2.80919885787327,2.62714909764212,2.39823992959323,2.49404414182421,3.17539688013753,2.92420024907427,2.7266568192236,2.86028662846208,3.01223803009798,2.12955102887598,4.86545440802922
"CCDC185",3.14931023355673,2.6859754208482,2.61909625332917,2.79312933656777,2.79271497254345,2.43214965873511,2.39762647403613,2.22105943642705,2.84128224242889,2.72757358780148,2.48075720542328,3.68855640739734,2.4593865184221,3.97363162390199,3.22712693609504,2.82370052318962
"TSSK3",21.7739002173267,29.8994263852516,25.8757954173762,22.6384221180869,24.7423699804125,22.3763854063994,28.0638204328514,26.9023739748846,23.8723371941566,28.8065681633822,20.6764899272029,23.8027647646058,24.5385087127285,28.9776686574452,23.5233059118257,23.1002937856373
"WFDC6",7.47803399101977,4.08272193169311,3.93919975575024,3.51975233095292,4.10065745551455,3.78891070664638,3.78891070664638,3.20104462732923,3.78891070664638,3.59081812971976,4.94261115538753,3.61680423628713,3.43694512095236,3.45373362449993,3.24646881843134,3.45373362449993
"BRF1",3.76664794003272,3.93809107223682,4.91880191580916,4.30161419921054,3.18693188481706,4.68490956166596,3.70965837088777,5.66595572451274,4.63827698671123,3.95824612595948,4.79100515088617,3.88730289784467,4.96737432578825,4.32108994175933,4.58080875316294,6.55512639137565
"TMEM266",2.92107808964565,4.37314860711451,3.14398535527465,3.45341071683464,2.97890785548211,2.58014657817698,2.99018608168377,2.86930666353513,2.99018608168377,2.71175258212866,3.06420232557645,2.7930447508535,2.73911517168563,3.75262005431364,3.67363975141634,3.08193786909537
"CALML6",3.48181331178396,3.5921412206936,3.36250505356427,3.05359355045671,2.78350272064335,3.17646512334323,3.53899676561702,4.3423773955014,3.03018272404165,4.37422297444219,3.17646512334323,3.29268791973552,3.6074215000742,4.53779804433777,3.17781402099189,3.58538506713295
"NLRP5",3.33263222647554,3.41251638796311,2.8276930714012,2.87881967533999,2.89223321049627,3.00495378889031,2.96634927637774,2.77543538103162,2.59337719561411,3.36699044083328,2.93595828004457,3.27368951469088,2.93595828004457,2.85848755297092,2.72163595389308,2.72490260625225
"ODF4",2.38739550307562,2.27324755462667,2.18766904970382,2.31425244199115,2.45943136035983,2.53904805861992,2.39998232275059,2.42266114497522,2.29125550175106,2.98088747921449,3.35870842343143,2.23737835315054,2.24939172061357,3.03970912516037,2.24447947997708,2.08772694080771
"CLEC4F",3.49101705772345,3.68960129731217,3.35646288208096,3.62908529144626,3.35646288208096,4.03154234473141,3.53007866978256,5.07080792541102,4.33709370410445,3.92873303250294,4.14037850670744,3.9936522960883,4.1233086253233,4.5753564879555,3.73211472056324,3.6096107517294
"WFDC9",7.26547429472447,7.19447267419805,5.06643568241582,6.55100877170621,5.78790294607986,5.32663995724372,5.98743335062671,4.61168006588179,6.25781632808091,6.57182422938248,7.12993724011193,6.6320269772244,5.51594955937349,7.57876361596401,4.78766360589785,5.87756064722923
"CALR3",3.85535260691189,3.58538506713295,3.05373094088364,4.01849663549453,2.91155031450366,2.94768869023934,3.53759155857717,3.40356081082613,2.61574034953206,4.88358402469889,2.86044092579644,3.4847435187279,3.18908454224079,3.92337455447525,3.01409193454279,3.68039695907152
"C10orf25",4.79490750102363,5.40089568346834,2.95531919380373,4.44888024197585,3.49042887934172,2.80747771811387,4.11379183088713,2.88564305421011,2.76183052325762,3.92519479332389,4.23345045392814,4.12253399207703,3.04563231227535,4.94852874215971,2.40169355853957,3.13587514809198
"KLHL10",2.50168038540657,3.66955251189594,2.45066705053324,2.87881967533999,2.51773427883037,2.56061172709449,2.55394115979671,2.3589791293096,2.23110597152595,2.30507312849873,3.40448683360898,2.25710803296778,2.64166555710354,2.37663791933376,2.65178646052921,2.56061172709449
