"","GSM506013","GSM506014","GSM506019","GSM506020","GSM506023","GSM506015","GSM506016","GSM506017","GSM506018","GSM506021","GSM506022"
"CYP2E1",28.4387595534139,33.0596194503729,20.6905717849626,40.3449392077905,21.9296746553105,31.6218729511924,22.0614406583282,34.312693505719,26.2551309923084,33.3443948421581,26.2099981324206
"PRPF8",300.470657705123,375.34296745362,357.55522274688,399.913711337484,313.90891183441,392.842931216858,332.981709951019,329.494294386277,297.961520884333,308.45382075334,374.23047000032
"CAPNS1",689.678586814315,798.409871606327,662.368512507609,1172.633230194,691.716388429511,733.510929312584,564.17429321814,835.87266875823,623.94503348717,626.839463517733,739.100661405724
"RPL35",1280.38369822183,1673.03139170033,1462.05682889476,1840.41268116584,1280.38369822183,1930.69914544324,1318.68114673152,1314.66094290845,1635.41597794239,1186.47037255547,1427.49584392362
"EIF3D",186.329373896814,275.117847906002,253.55496267396,268.655274285022,256.982106797955,366.393442792412,195.533967468438,245.718909154678,218.950774784558,227.357548111403,278.582248151577
"PARK7",2219.96228754148,1480.00816022386,1795.75132571434,1486.93753537902,2176.33227815658,1519.43369348685,1626.52733687491,2176.33227815658,2001.88614040866,1752.49680914218,1731.65252660241
"SRP14",1503.49140802157,1304.62912461459,1077.98451633051,1056.79582359882,1388.01940104443,1575.16539756278,1958.17594167231,1116.39052128984,1472.99411712317,1082.31805441938,1541.52132202123
"RPL11",1134.59080783522,1351.61086043144,1635.41597794239,1054.27148980383,1108.08057656235,1357.05542025614,1327.19778528686,1593.05763032755,1870.85674447651,1930.69914544324,1570.75425232485
"RPS27A",1566.04548154705,1983.38737605858,879.55738158104,899.428677304966,1486.93753537902,1635.41597794239,2932.9484747121,1626.52733687491,2968.66925080602,1503.49140802157,1361.06231320243
"FAU",1840.41268116584,2105.98995166485,2129.09968616968,1878.47628953289,1945.98299253419,2482.27417166051,1449.54422397115,1995.67234683228,1895.81248067257,1575.16539756278,2236.86288347238
"CFL1",5818.6001561975,5045.85742118385,6965.38246533986,6877.69312958467,5928.66460394978,5714.57473871446,5618.27041672918,4145.9111676666,4458.17427847878,5323.81689293414,5216.44412343361
"RPS5",641.271080131103,1263.09453881966,942.121702186787,1278.23190832941,660.716494216951,1242.29703492698,931.654047085528,1408.64930527237,1094.36903480385,1011.42081160676,784.950054552245
"RPL27",1765.66095640195,2245.46356226733,1791.09784199843,1457.86184164118,2134.12047991736,2302.68673414464,1937.14767759697,1529.93916032506,2370.20853785772,1840.41268116584,1930.69914544324
"RPL34",2591.52388900932,1878.47628953289,2433.46808646083,2096.69755117555,2654.33598004086,2791.73331789457,2482.27417166051,2987.50911025508,4391.76453970107,3680.9897715295,3041.52792718728
"NARS",914.807117604445,877.805897124313,885.347322733257,835.87266875823,960.455658047503,1013.86916268615,862.72985461188,808.677879398765,809.443849973324,776.787412544371,828.8532611611
"STARD7",444.431582141161,540.33278637655,825.929178594834,689.678586814315,608.512753057932,455.193040274268,770.415169373575,671.575641706395,699.371416454981,788.506891866494,921.728656631934
"RPL19",1778.45218899998,1824.53881686028,1507.88382773973,1598.54667250615,1809.23309335263,1903.33135906896,1864.73716897998,1560.60070191143,1983.38737605858,1809.23309335263,1778.45218899998
"SLC25A3",1197.61479786782,1598.54667250615,1318.68114673152,1391.99428633781,1367.8173398707,1194.62460228903,1357.05542025614,1251.22650564274,928.6741587949,933.362982125836,1194.62460228903
"RPL9",2317.87796112987,2317.87796112987,2741.9298799573,3016.45473309723,2515.88137300711,2662.47639127593,2245.46356226733,3700.31741244804,3127.28045965077,3216.99180089143,2550.237251382
"RPL6",1014.99773329911,1258.9694557854,1231.76923950456,1372.17356199993,1087.9278751873,1399.96236313976,1116.39052128984,1278.23190832941,1272.74713502427,1364.18262483398,1123.22732475747
"CTDNEP1",170.85194107531,213.097951173688,233.115382913203,224.360007834706,208.99578058333,134.293060501532,166.449121399094,192.481758026194,276.323369925524,143.96825154002,234.816508611373
"RPL10A",492.450202801895,800.982080163433,538.77606772373,531.636661455759,660.349005626266,1004.76420009273,606.125916629965,614.908688543787,807.188457875936,683.799750266271,739.733804671545
"RTCB",248.012741882741,318.899374878926,242.352015272577,358.488748302159,338.136584404688,309.246004305742,318.166599683447,265.174705324867,183.276708606853,227.052610656563,262.905793494562
"ERH",819.90015565638,835.87266875823,606.697609500411,726.114062718519,696.394051764701,851.423183210954,950.079072277545,711.97826209455,965.211783679621,827.082597017712,805.511004252224
"ABCF1",189.343554415138,165.361881162249,219.058421211364,285.617492696998,202.397557469091,187.710166429491,199.651738502858,227.417779666791,108.249664341686,208.789126577281,108.998616493232
