"","GSM492649","GSM525014","GSM525015","GSM525016","GSM492653","GSM492654","GSM492655","GSM492656","GSM533622","GSM533623","GSM533624","GSM533625","GSM533626","GSM533627","GSM533628","GSM533629","GSM533630"
"CYTOR",39.449512698318,28.919349010105,31.3942124508492,36.7836638044181,28.6932521183785,36.0472593132642,32.4416461336273,27.9596540887912,28.0592544561502,29.4085211279323,30.3686356413836,35.327870804641,31.0754956387892,23.9273535936517,32.1971223480979,26.4650158218324,29.0641171199049
"ADAM32",24.6738115863197,19.2901656911952,19.9975565851657,13.9218917011275,25.5235512739985,30.5425132338018,24.0557761503238,24.0557761503238,30.478788735648,21.7287341117783,31.9326641800729,49.3941273882167,25.3657836789983,20.1851404060832,21.0544070186004,25.0052484771821,22.1979364148423
"TIMD4",32.0044945291685,13.1597841236076,11.4336779117061,13.7491468684416,16.2737846831898,17.7293575479597,17.0987579898429,13.4931258485713,15.7645515175348,14.7401596003563,16.0588246130535,14.3943802621063,14.069419478936,14.9203739105357,14.0768066187375,15.4914857936561,15.0639676558517
"ATP6V1E2",48.1952612107538,77.8926309250013,85.2135451572705,98.0413842659808,54.2737681738914,54.2831418841431,63.0603961528761,63.5224475119959,50.192732666928,57.7344430648352,65.7989790919078,64.0014813340426,75.4187471248007,72.1267132830283,76.1473712859978,55.7887529187607,84.1510089025609
"BEST4",12.8284366785537,18.4805051405304,20.2475265636277,21.8128721709281,14.9120060921358,14.0060861167106,15.7549415482804,13.6127855706278,14.9273046635927,130.995274528908,193.772627538118,106.245335624817,13.6892799460899,15.9670721864146,14.581982075697,99.4247468296331,18.1567859941881
"CORO6",101.207895427779,45.704830039811,45.160723476955,48.644847261998,45.7974488642672,64.0969124892242,43.1818836509396,45.0684558495293,31.621083270263,77.845632543331,78.039191685957,33.4276647227655,55.6848060668168,59.8380603029381,120.033100407304,63.3495050155489,43.5452705799122
"TMEM106A",11.7167133891807,10.9776385390634,14.233613700488,17.2604613748292,21.4816823032334,14.3645904128945,20.9574206107701,17.1859004761386,14.822519602541,13.7134421339876,13.7469465494087,10.4773886808955,18.3650557513527,14.1444022004024,14.822519602541,15.4756570583179,20.1417590167296
"NEXN",28.3128590252665,32.2039994666507,24.553380978825,49.1452087102811,26.9235000446606,32.2629582751786,32.1082109019923,28.7048821184137,24.2621382610323,19.4002141640042,39.6449638153636,19.6259016212086,18.8498381607324,13.9133270922381,19.5591110794683,21.9072094068172,13.9410812582919
"RAX2",165.905402957423,144.169519001456,174.007921670034,125.299005129339,184.494256619154,179.4369046309,175.244120851262,174.007921670034,175.415241165529,190.51374930682,167.948371497437,174.007921670034,154.571983549829,200.948037726661,174.007921670034,139.419700594371,179.3020393076
"GIMAP1",60.5787408682553,94.1297960512404,97.2299427850475,93.8374067440194,87.6158334226031,69.1566818749437,97.3077595616809,64.9648813969173,77.9591282514114,67.9976416898456,70.5063461051115,56.8482890195154,63.9057943211596,73.5607838549312,78.1892625922955,70.3610259645087,81.6336867131075
