"","GSM609366","GSM609367","GSM609368","GSM609369","GSM609358","GSM609359","GSM609360","GSM609361","GSM609362","GSM609363","GSM609364","GSM609365"
"PTPN21",41.5503704628349,38.0376142784491,34.7438938726922,35.561393493715,33.6671053614294,34.4700148471569,37.9267812806142,39.1166691905463,41.7866934883014,36.8893657386974,38.0802298874584,34.9635497282896
"CYTOR",62.3467643752532,64.3737014394276,67.9932726011955,70.6912108246784,77.6162270585657,75.2515288700497,66.1459448456936,73.3060486382862,68.770423315528,83.7470662460526,64.2304309929527,71.865158152593
"MAPK1",168.555773590398,176.484957133443,154.133714967396,140.017990063311,94.6710398234109,169.281346395623,181.31888871407,323.08030673355,196.720606263684,278.257439731568,208.156211970715,244.352722246572
"ADAM32",24.7571019089035,24.1378217016778,20.3462413268831,18.8082202045126,39.7206757531774,18.9581042180644,18.029342088361,23.026101227373,21.4986864045099,16.9336137963336,18.4377442862438,17.6655483745588
"PXK",169.235272124264,168.319387887109,178.690269999223,164.218900725155,118.549708403116,221.178976370949,73.4925390440724,154.470273057298,67.075152200405,115.346521087413,80.8131032939623,176.403538480996
"MSANTD3",183.663722583807,191.322993334156,313.596853304304,350.229800157912,121.330184139971,235.583710361338,195.548485447735,146.802449142095,138.475110930547,244.746221531563,302.837407148905,217.702818146529
"TIMD4",19.1594896698503,17.0415638612,16.2451690436543,17.8303190598533,14.0129619456048,16.3184562095525,15.6110307151871,17.8303190598533,16.9319280133047,17.4960985784432,16.3343156713464,15.6510690604212
"ATP6V1E2",67.6840520526521,89.4239157637487,46.2994310197949,72.8206647751578,73.765155184177,70.2285967206992,66.3055819988485,57.34473902048,94.4955079371086,73.8373821455119,52.9637891716248,65.3682421340451
"BEST4",16.3499949045821,12.4829998087454,14.4568969581984,13.8184636182421,22.6560876686708,15.4622106643407,14.6660983495972,16.0446517602752,17.0902932130365,13.981019488587,12.1194142860827,13.6685333951912
"CORO6",111.315020319652,117.555023008651,49.1012686355818,50.4745266879032,60.8472294815427,53.0455678629229,50.8759787838026,85.9221129130217,49.2715279714062,48.0546278901819,50.2351165207645,42.7269407024922
"RAX2",124.417086529717,111.21316069797,100.460793624049,121.422701284976,137.473595962681,119.001326168013,110.485483454655,115.930879786391,152.451368212092,104.679167082775,100.438332448136,83.058767740973
"GIMAP1",39.6926318669659,30.4277065390564,25.1246485755406,25.3293068437108,34.0121506725722,21.5806930698137,40.3823061152941,34.1706544028695,28.340760163164,28.2243789473769,27.1087034732183,23.4298985285245
"CCDC65",8.59701323906937,11.3120997980173,10.6443622268517,12.5659849134058,9.8136548557057,11.7585866053454,11.0433822192463,10.2121741394755,10.0466234973375,11.8931397662703,11.2313452439221,10.6522027904482
"CFAP53",11.3229000883543,11.278479516792,11.3377320212061,11.9580937624659,9.63674660223621,11.1989713766842,10.3141512297536,10.9512703546038,10.6337874804516,13.5227413086181,12.4433078997162,11.4711232217254
"CATSPER1",70.6349506358403,79.9692718186054,103.177596106829,116.893033614203,80.7255156358749,95.2257844933336,76.4095261794217,67.8062649497136,91.2614104643866,118.635536313265,98.9916013450179,103.463541289852
"GSC",36.373866735763,35.4325468180285,24.2059029537537,27.2284472047476,29.013601593607,30.4904276456862,34.1599224822701,33.2665669672685,33.4683589464175,27.2991831281583,31.0193918110197,19.883152980704
"SP7",23.1059223735684,25.2172526067139,24.6740544636494,26.4456658324836,27.2525673042033,25.5002686834417,22.0030223528459,30.7554369991362,20.7915979429865,23.2843333650514,26.1306509412052,21.9126807013132
"LEAP2",172.700227126322,127.925108522292,56.3866209954418,74.9804679322485,106.721937183469,88.5724729826147,169.779648375232,98.9712244277533,96.6429382034676,64.1725543115513,75.1029986237987,158.814584931282
"CTCFL",19.1738195926471,14.4040459116387,15.3064979915197,16.3919617172685,14.3523965818677,14.2384766993486,18.9282319521821,15.6911800752746,17.5839281222419,16.0799243044999,14.1095527162777,16.2601213473294
"TVP23C",130.871175853744,136.660816659347,151.01456860263,144.715026518697,142.637971404026,196.430586211552,143.350476707688,160.551673861082,134.096542729159,176.846815465721,182.994928353268,153.371727272803
"FAM71A",157.71742170694,145.690433973121,96.9836034290329,105.575048450816,115.620528596303,82.7311527935146,141.418806434896,135.204163155567,185.02793358645,114.412109075083,88.5532709734674,93.361664093948
"GAPT",161.124799711506,109.666473511293,86.2566634969012,102.170966597792,100.155815308265,141.405803848785,144.699323825457,64.0323513751131,112.729106636355,126.098309893094,138.01037890423,180.037796944914
"CCDC185",23.4106108357041,23.0190920378604,20.0024520768398,22.5372288766987,21.3246372768332,21.3372286174265,20.3854130648262,25.499857220209,17.8709204270355,24.2446616665399,18.7461920910394,17.7547680640003
"TSSK3",150.809522424519,159.985569782568,191.266114865124,276.584944616967,149.407371839328,221.825985084796,182.959774943861,152.365431744885,188.401451537393,218.081674115841,239.598741812259,247.997499481418
"WFDC6",30.5550451557574,34.5632249377564,29.0723941481245,32.0019773826457,28.5109980158843,28.5685627948211,30.355375846869,32.4179846372635,29.9933507742469,30.8188554509162,26.0696936775992,29.3763188740082
"TMEM266",38.1218999466651,27.1732802434005,33.6255082482294,33.6525017815855,34.1201920271612,36.9172083873204,31.4139200336661,39.4136118088937,33.8719775466587,35.7927271281478,39.566231452513,34.0695768520656
"CALML6",19.8268712078803,19.7588928014264,18.3055943369923,17.4154104264828,19.3869715001651,18.49625698978,19.6024763889188,20.4979521894672,17.3062950624453,17.911554393001,18.0512082322956,17.1616156726552
"NLRP5",21.1683134280626,18.1168561427638,21.1975843891694,29.5144731094497,22.8516821620339,25.5064906314157,21.8119518393607,19.6081046363755,21.763020368682,25.1843850549122,21.1684927886013,28.9336693811336
"CLEC4F",40.0099382232284,48.2635896086543,82.5587258879066,104.009001921393,43.953973750474,67.7718035032684,55.046233818378,60.8505151294905,56.9581022194515,75.0233916201285,90.4900928638875,88.1708750093286
"TTLL10",106.820913747313,121.539207780931,113.472288873481,104.262718391308,118.519117513283,110.804071421485,141.302467227081,107.513269883858,124.036085412471,121.299951466966,118.171855457819,93.6610645718265
"CALR3",14.085290640995,14.9015720959134,17.5834588808703,19.0585201427119,15.3427393830944,15.4863773379715,14.3022285321315,17.5198657392368,18.2877114071836,20.1364493923515,15.6638274440134,17.2563928079948
"C10orf25",56.8968841056919,68.9283953635002,74.2818335169353,68.4627775557534,54.7648200164874,60.4224024932072,43.9304541537517,82.3246994075283,60.1051446335724,54.295962623649,45.448271077478,54.7423549528995
"ZNF485",11.8569338046065,11.903361492473,10.663185681976,11.9602805347433,18.3384158360513,12.6995126867921,13.8216921842121,12.7448295438207,10.9616089791033,11.5658324782556,15.0230282012523,15.2688206303618
"MFSD6L",64.3737014394276,81.6886254274806,98.6951745238729,95.9058080964128,91.9984787227812,102.714139236801,63.5831385277067,77.7836022980474,57.2857836785699,90.828022616956,103.215086685723,87.7335698850641
"ESX1",40.3838198345608,39.5734703437153,44.0926808849288,42.1165984911367,42.496142841583,42.4149254181788,41.9119838182907,38.0336572352491,37.3693970989323,44.8765309254047,41.792110835092,42.7407518064456
"FAM167A-AS1",18.6740168258616,17.4822068442059,20.0485869060492,19.6388823362129,22.9607779551298,18.7937869873025,19.5412130848928,20.5630682580596,18.0037772221907,21.0584295635303,16.1178138817595,17.9892315391707
"DNAJC5G",53.2714950796141,61.6203427512779,69.5849062456248,67.6794794949342,57.4800464685527,69.6799712708949,56.9653916661422,64.4066332819554,63.5892442246288,60.8753308510433,73.3533162778418,76.0886334091189
"MBD3L2",50.7309927642243,53.4449939216255,60.1043420677196,57.2122730566225,56.7041060863911,63.4551692041547,48.0033838956403,56.0197067441737,59.9388255233725,59.5646127481192,61.53466710615,63.3634152150303
"FAM46D",12.6544965596654,13.0706774093395,12.721257620074,13.7311814575566,14.3784612100791,12.034885642209,12.4597669496379,12.5211636868721,13.0301061068007,13.5462045231153,13.7234907167316,12.0635463329501
"SERPINB11",15.2492037289177,14.9154464909655,18.9414380174444,20.9037245024936,15.5994527482681,20.9308377349374,17.0751174746926,18.9300151953757,15.0470081790484,19.5273998988852,19.3800022750408,16.996367908492
"DSCR10",134.780021047639,109.149062227505,150.225259524097,156.198250778738,116.95795621629,154.32579851815,115.060282638069,128.145809805437,109.149062227505,166.069588192017,137.521407840199,149.074043619972
"MAN1A2",34.881038295534,21.3922226490761,23.6766665930256,23.5706881532329,22.5136593640939,19.8152175151637,31.6018819284818,26.5936729727935,25.8699160633798,20.3460769859892,19.6640608213049,22.9033768286572
"RAPH1",15.311008820795,11.7621250115805,13.2574924797104,14.1243824118332,13.0669063519831,13.6118545838581,12.3257539506036,15.0455438450289,13.338976466437,13.8551785052284,12.5508260747016,17.229521101892
"BNC1",8.7597542779745,9.62264028019917,10.0718513880969,9.79205064673517,9.63339829122036,9.54193931451643,10.0183793440048,9.82645360660871,9.91869011795168,8.92600424065586,9.7114906442778,9.99912975077561
"IDI2",76.1398924533397,55.0226625373473,71.1392154602651,63.553025034307,72.2511214224668,82.7499634740648,57.7265354023951,75.8612072683412,63.9585781142996,81.6330338377417,71.7856329308911,95.9336271039928
"SLAMF6",76.7833305660108,70.7145240320422,64.0450368683193,78.1251344842366,80.57691249607,71.6113367654532,74.1092481666924,154.800504064804,82.6694195462763,84.663766311062,74.5387365952597,92.8116319826952
"GPBAR1",65.3515280314048,63.2749454736313,75.8987099365333,87.8981325721576,68.8148312127474,96.5727765675457,62.5556116793885,72.0750840999508,81.0219603072071,90.4526101166532,84.648878905455,73.1130145401693
