"","GSM77362","GSM77364","GSM77366","GSM77368","GSM77370","GSM77372","GSM77374","GSM77376","GSM77378","GSM77363","GSM77365","GSM77367","GSM77369","GSM77371","GSM77373","GSM77375","GSM77377","GSM77379"
"CYTOR",65.1554311348717,65.3874589199738,67.1275669612011,144.298510828885,69.5022814535502,171.22989655223,54.8613347607193,67.2212492984229,57.2620741957696,90.3217981443127,81.2276227432687,78.004195790137,102.659624618786,96.1175507148901,201.476243427836,85.555293554302,81.5751111339161,106.223563938269
"ADAM32",49.9339180042055,52.9988849756317,61.4725606359745,49.4625476015347,41.0529807993193,55.7842870749789,43.1140399086232,48.1133438136577,39.7741352328487,64.1822411867391,50.3927226089288,59.9663069048267,53.082577971453,57.2226680847309,46.747325429905,60.4440978056693,66.3977017684751,52.4818522117951
"TIMD4",56.6108768857191,47.3610177727683,40.7681332454678,41.6316455479058,42.8280880694333,39.7161559133481,40.9013360976162,43.2558799779005,41.9465572335072,62.5882073186725,41.9013115439911,44.7225661753392,47.1053730544751,47.6788123443074,46.0218009686627,46.9735083270527,56.6108768857191,41.8343967625346
"ATP6V1E2",78.7435386270215,94.7809301190086,84.345203797861,98.4915819721248,69.5700385296993,92.9693422631351,77.958257545108,81.2385695269291,79.6051717430273,75.0689850117143,75.3286437064719,85.8028226850376,74.6598776435164,65.9029879760345,84.6162723365874,78.7302543531493,87.6787609322723,72.5462704787683
"BEST4",19.8938701654388,26.8157045145698,28.9960896145764,25.8241965603368,18.1702202007151,25.367965130103,18.315450322703,19.2631637390672,15.4736345192006,27.3994694133478,24.0240029978087,23.1172245497478,16.8714224372139,23.2397941370175,26.9838969226734,23.4795679338033,31.0643138555621,29.5304554977257
"CORO6",519.317205474117,963.501677270648,492.098483224692,569.488188423945,1467.88756743301,965.870685470912,239.708815058218,883.622896081524,487.721950771169,946.179630536963,296.995642893688,380.30966716111,494.162150620205,1223.07577416137,1394.26879844845,169.407037041888,978.113191897015,511.339834501462
"RAX2",145.298088803808,152.038452699698,172.841757358063,144.829021534249,115.069836016735,169.552024562376,133.441209965034,108.653000361176,144.768574812996,241.454195195657,145.0500523792,157.604934470356,159.19541200926,121.341432666795,122.480505004293,124.074881324586,210.81148979434,151.033488977643
"CCDC65",18.3383813334879,19.3325419270244,21.0426409162025,19.1021383358465,21.2042872142544,19.8513109337394,17.5596901692633,18.9548858675171,20.0076476132767,12.9586381728899,20.5597739435902,17.3304547839258,16.6318103486204,15.9016757329,18.0260671747954,19.0026148018514,18.4123518137394,16.1027197909012
"CATSPER1",103.920385024288,78.7995696706807,104.583082596604,80.6091293816741,88.1520116354869,83.3456475827429,77.9492291685684,87.314248901818,93.6355109678095,104.357931070505,107.862806727889,90.9921039287001,148.493994902704,131.453692148225,99.3689487722138,120.453834279051,104.133130413091,109.562543143471
"GSC",21.3253683713666,19.3926550412323,28.4656955989843,23.9461848946896,24.0914701594531,23.4431412226687,24.6494162899151,24.1868131661701,28.011849909413,23.0429963665473,22.5772003956136,31.4531427553327,23.7388510756633,29.2250095043728,21.2223998102469,29.1371974347298,30.4860403821515,23.2685920874294
