"","GSM82381","GSM82382","GSM82383","GSM82384","GSM82385","GSM82386","GSM82387","GSM82388","GSM82389","GSM82390","GSM82391","GSM82392"
"DTX2P1-UPK3BP1-PMS2P11",1466.82169225839,1333.10524353276,1238.9814716021,1550.18604097588,1353.09881918952,1586.28425624992,1091.24228262564,1148.16406984017,1272.83151817569,976.402880888997,1102.82770458033,1202.17750552243
"PRPF8",971.480079438473,1123.13059344252,1143.98222332414,1010.63395682695,1173.47313424094,908.135007940734,1241.55640346528,963.356199400564,1001.7088221804,1066.06025634298,1119.69615621838,1197.62598137142
"CAPNS1",4243.14065348952,4597.39658196824,4899.85267701875,4620.54735106919,5109.74644732187,4793.11962046292,5536.67787545291,4359.49272860779,3951.36507215404,4623.0177710389,4112.03400474395,4441.65797992428
"RPL35",2284.62534609785,2691.99097146237,2368.02928054629,2207.45305915989,2451.36414495439,2497.76813580039,3297.66297886279,2406.57280983823,2637.45094913055,3226.95952150118,2703.64641515748,2729.69209647288
"EIF3D",1179.26474016208,1174.91214041282,1134.05424340628,1265.53973950722,1303.50042642072,1029.18954568406,1528.33743327404,1283.18398285605,1285.62959282591,1666.89268416171,1174.44605636815,1148.61362509252
"PARK7",3692.11972332413,4415.93891256748,3893.5018057153,4027.31387143236,4837.52533814936,3667.44908907417,4902.22361588879,4783.30462273288,3305.34337924151,4001.46555665747,4008.91090337446,4651.20345152178
"SRP14",3987.97951836606,3950.46812068195,3904.81615928339,3866.84477771398,3868.3409555549,3513.84483690132,4225.54444244662,4075.62125888453,3597.13336335021,4274.91467860783,3862.8631339894,3566.81625115047
"RPL11",4262.31761369467,5391.12217819983,4476.14429280017,2947.44265677745,4009.55747893463,4297.03400220165,5687.88118152519,4886.00079371259,4562.20722332414,4849.01310272009,4892.14112575471,4504.94317539593
"RPS27A",4086.34943061047,4463.46116791923,3778.32065897961,3499.52050659371,3937.25752307696,4398.40019241681,4251.91678173596,3784.80722332414,4411.52673462187,4590.88375695381,4004.81972332414,3960.82960489914
"FAU",3229.81555665747,4371.47288704223,3875.65534293079,3096.08993135222,3378.57362849766,4148.68552078072,4700.62227057077,3604.26583888054,4462.84557483206,4951.89587300672,4216.81751439873,4129.75929098844
