"","GSM119615","GSM119616","GSM119617","GSM119618","GSM119619","GSM119620","GSM119621","GSM119622","GSM119623","GSM119624","GSM119625","GSM119627","GSM238790","GSM238791","GSM238792","GSM238793","GSM238794","GSM238795","GSM238796","GSM238797","GSM238798"
"CYTOR",16.3788403488869,16.4343435593621,21.7042748340428,18.7740117360153,13.5510849898023,20.4459263136529,24.8872137254304,17.8917967178647,18.5758868965024,16.7383784106323,18.1774426554666,22.1905036496275,11.1059702002604,20.6317862605618,16.4356713623487,16.3698352513544,19.1546478949963,19.9442456912943,17.0096685874421,16.3189760929928,20.2669227812374
"ADAM32",26.1735190396282,24.6198632942169,29.4149979151028,26.5158104592203,20.8958189100265,29.506443772284,27.872700944841,27.0765605178689,22.7124786050016,23.9952931388851,12.7054047483666,25.4070878651089,22.6399695743243,30.0049347505841,28.4950844508532,22.9377188946079,25.4070878651089,22.8441283532611,26.6670616987824,23.6028637966469,25.4372787153101
"TIMD4",13.6394027484916,12.3377056427268,15.9226400372115,13.1885722749213,7.0268566174676,14.0772382126797,17.4312864973539,9.50809785935454,12.0986167705179,12.6904611901313,11.4145376667745,12.9199254748796,13.6394027484916,17.5597807591943,15.4545489694939,13.6360903952343,17.1301895357439,18.4681150670147,19.4104839458428,16.0825637406582,14.6799898201701
"ATP6V1E2",42.9725946261279,34.8296417837671,34.4847196247863,29.0041197242108,34.7839328412997,23.6889913029889,24.6136242263172,28.4516398970535,25.4093177981398,30.9387307227866,33.0849390342289,23.2055179306567,39.5185702774458,44.5865015958185,39.659016895681,38.1033217001625,39.4448439878302,37.40588551167,55.6720237699261,30.0785940381101,30.0377244824069
"AFG3L1P",132.755263397105,62.7608706885908,23.2879138456163,25.7062824550471,114.32153618561,28.2543503285473,31.6704394217781,45.577545936886,26.2357965281068,23.4545693967218,36.7546498009122,19.4888990935637,122.135906367011,29.6464256952116,45.6984496260474,36.6474063434275,35.305430537037,36.4723980926697,36.319769123105,41.1482283607921,40.9463854386901
"BEST4",16.7483170561824,8.56995842439451,8.89851709411888,8.70744792784327,17.9776057338308,8.10757798502106,9.34814426833912,10.0928203974534,8.90621925873151,12.3132545412052,10.0928203974534,8.89813518036562,32.2418686316168,9.67225583264996,10.4426623895488,11.0996856547192,10.9862920327829,9.65758819030218,9.22276783857678,9.8318991195982,10.3722365961975
"CORO6",654.784892509577,414.125666228004,440.269965116621,600.334150702041,421.768388233699,734.141036095247,316.207360503795,702.590167802179,401.186364941277,573.652586365354,576.152441898241,308.9692652657,685.634182062897,215.281937948972,267.813610415477,278.34115080933,186.921646227451,234.150979897574,177.748611035514,290.965120036011,230.357999661105
"C15orf40",79.4325271114134,50.5883745308345,14.2323379837546,18.9630819617398,79.1125037614974,23.9528303292574,10.7912521342107,34.4326206682647,38.7436045193303,35.7254962089355,38.3195490399325,25.8588949780265,71.1023227005947,17.7622978171932,29.7515632317312,23.3514693974462,12.8356122214788,26.6592589145215,14.2107312663908,26.6592589145215,24.9488924943
"RAX2",89.4068410685618,80.9354118836695,100.55922277543,142.976895423987,52.2851391238274,103.839150426797,112.277552503243,79.7517682831169,90.586004623439,88.0650142931853,83.476660212258,89.0945375962239,88.103921058067,83.7302876098429,77.4538352529699,78.2670430963374,92.5221440540057,86.0462744701735,109.758023224092,90.586004623439,89.0503495463734
"CENPBD1",8.62621433555682,10.1263484501568,6.69970892048403,8.02377003706573,18.446822424645,7.25184390980046,6.29754668257781,13.8880201794673,13.2823383232728,10.3354639992736,13.950430127487,9.05089055481256,11.9193384966379,7.51272072091111,12.0700092605003,9.73108384199055,7.91912513433646,9.66251273149364,8.18169343763059,9.3323123839202,9.43055261256504
"CATSPER1",23.2999437707949,16.48598247345,25.9683978424624,25.7216677975373,18.0499361328376,25.7359216897308,23.2999437707949,20.2096831059126,18.7938169572047,23.2438653785367,17.8577741035299,22.8752041167433,21.990162793964,27.1031278590693,24.1434119945879,23.2999437707949,30.9520479142841,25.7282624680335,30.012812278334,27.0554170194756,27.5000356783516
"GSC",18.5217630923104,10.9071451334659,20.0916287404821,14.7035108688026,11.0663581769222,17.2404628424515,17.9019675053701,13.1811535870704,14.6261665734721,18.3479482790929,14.8874603924389,16.7591878106832,13.3855046594435,12.0294686294476,11.0154909111736,12.5269560544708,13.1625606795896,11.8391069983294,13.7257268420035,12.1142274704854,12.6476919958464
"SP7",13.1360663394794,12.4040284554433,16.5833144973192,17.76017830217,15.4898426116417,14.7923556671217,19.7012225480997,15.4898426116417,16.6700292023761,13.880535315965,14.8052989621125,15.4898426116417,12.049492985561,16.5703485678115,13.5565548337841,13.705360581025,15.918990488104,15.4898426116417,17.5969380976826,15.4898426116417,16.3465832046948
"LEAP2",33.2235704563419,22.0423590820937,27.0367752147339,22.5723269876859,24.2752359623697,29.152397046891,22.9717917400159,20.9348396140551,21.0642229804069,30.475910165877,20.8817609787259,18.4952105151347,19.3819754587217,24.3125273738499,29.3332417238893,30.3370625784206,32.2519242409055,30.5392745812398,37.0945030136817,27.6229220424864,36.1906718806338
