"","diseases","controls"
"GSM119677",0,1
"GSM119678",0,1
"GSM119679",0,1
"GSM119680",0,1
"GSM119681",0,1
"GSM119682",0,1
"GSM119683",0,1
"GSM119684",0,1
"GSM119685",0,1
"GSM119686",0,1
"GSM119687",0,1
"GSM119688",0,1
"GSM238872",1,0
"GSM238873",1,0
"GSM238874",1,0
"GSM238875",1,0
"GSM238877",1,0
"GSM238941",1,0
"GSM238942",1,0
"GSM238943",1,0
"GSM238944",1,0
"GSM238945",1,0
"GSM238946",1,0
"GSM238947",1,0
"GSM238948",1,0
"GSM238949",1,0
"GSM238951",1,0
"GSM238952",1,0
"GSM238953",1,0
"GSM238955",1,0
"GSM238963",1,0
