"","GSM160404","GSM160424","GSM160427","GSM160428","GSM160429","GSM160353","GSM160358","GSM160362","GSM160391","GSM160405"
"THRA",67.6171961259614,110.234296016356,107.777762114809,108.009500522754,75.2625353951972,68.4787883325463,65.7625300726818,74.3257741021544,67.1853884934081,70.236054373709
"PRPF8",1544.40840247505,906.248943198994,1462.50977955631,918.501192618039,1206.72501152657,1657.81045736712,1908.3987318328,1697.63103666777,1873.66719349731,1462.08605154469
"CAPNS1",3311.87944180684,976.224108402995,3251.68920054523,1269.02396343553,1297.68703577097,3887.319405107,4298.34516295677,4082.54138694729,3624.82950787619,4057.77775658906
"RPL35",7893.42040263797,7427.80420693353,8407.11164492938,10176.3371273686,7801.19988895843,8830.64207214551,8907.89447244845,8709.10897135594,8778.94560102386,7935.28783174613
"EIF3D",2355.23221374225,2333.68694355604,3228.58663079941,2380.87944180685,2521.05504946861,2760.62944180684,3446.3210660576,2422.02315581684,2650.27944180684,2283.9486961727
"PARK7",4332.77145747911,5009.88320107072,5332.38535596045,5912.58727485133,5755.16493588905,5629.81215182121,6557.02968153803,6071.90153989182,5163.96995175108,4792.17952763231
"SRP14",5670.44965887567,5647.06318057249,5599.98558384603,6345.33917119257,5694.99543977184,5662.15887601144,6599.31660104824,5297.82374678539,5324.41041146475,5703.7674691174
"GDI2",3806.52824633536,3490.31563773938,3689.59703037268,3692.00694225444,3213.23144649038,3617.82759041377,3870.53927528352,3631.77944180684,3752.2668326798,3807.00518174796
"RPL11",7698.37944180684,7008.05164052362,7959.45147892617,8189.8253620387,7146.30842647738,7628.51491643146,7661.64137494759,6761.57944180684,8293.58218955936,7847.12944180683
"RPS27A",8136.92190684848,8802.47944180684,8234.31102217092,9151.90765300378,7936.53986436284,8278.21987586314,7967.14353353197,7121.47944180684,8000.49131769333,8164.20826181992
"FAU",5655.45096243262,9293.37086577863,9507.78797486893,10443.1822125081,9191.57949326004,7272.1905943886,8068.42918334364,8128.12216547186,7288.18979358765,6156.25582811124
"CFL1",8862.91986704111,7802.15044383608,9148.82546163553,6180.68789044862,8945.48262495002,9175.48609905913,11745.2794418068,9559.87846175278,9135.50208462416,9021.30027052357
"RPL18",10335.902236112,6770.52396396123,9941.13729061118,9321.61460722066,8486.37751817293,10427.7251777941,10296.6330977352,10586.4750363316,10675.4652634908,10214.3889528339
"RPS5",9576.45361183053,5227.31982922084,7610.63062966603,8465.87855779775,5864.48522378155,10181.0413627254,10292.2248801826,9121.26205686835,9321.64203479962,9993.04461445082
"RPL27",11100.3997763488,13010.3797470836,12756.2794418068,14065.8794418068,13253.2183676928,11410.764422597,11980.0794418068,11830.0794418069,12127.2639362447,10381.3496577034
"RPL34",11366.1794418068,14862.2012348888,13921.865532127,15352.4794418069,14646.4496287235,12191.1519934629,12929.8794418068,13498.0224527822,13856.5231908009,11112.6794418068
"NARS",2472.09830355112,2578.7440142487,2233.76930703875,2550.3005653161,2523.42749204393,2470.08438880343,2005.28981581603,2607.06142100073,2354.88131306401,2557.74742154221
"STARD7",2773.02828070568,2723.91832967808,3141.77070497415,3217.87019277714,3326.86686458512,2887.1247126677,2711.88591569148,2956.86354756834,2359.00872463115,2605.16004074831
"RPL19",10300.21466819,10627.5389293176,10999.075425303,11305.1951531544,10453.0778917463,9998.28232370959,10386.8596154463,10827.6923601787,10754.3496475561,10515.3518809572
"SLC25A3",5862.5735344389,4653.69359122447,5453.97944180684,5423.72987507374,5395.18953013526,6166.61471484508,6452.62505601338,5564.33381471911,5022.21315891002,5794.17593672338
"RPL9",12875.402695524,12826.2082094009,12045.0997571376,14146.3909621647,11649.1794418068,12564.1270851901,9965.46928814035,11920.5962302761,13057.8797907066,12958.1170762126
"RPL6",8641.72879246207,7401.69766449145,8397.83122354982,8416.06351915031,8103.31798459844,9302.93796202882,7424.00884042284,8397.19585463788,8734.1794743288,8344.61912905078
"CTDNEP1",1023.41534417049,1278.97944180684,1969.60164517674,1544.11060365118,1781.65732056757,929.600041151414,1114.0654423085,1366.73904329825,1023.92593832117,872.517515024575
"RPL10A",8517.52042537335,7529.47574087327,8135.99239810251,8019.93449450025,7864.31234676517,8801.93498926993,8407.43937454117,7276.67809729892,8260.32582887757,8254.89661627296
"RTCB",1297.07944180684,1738.73074533225,1690.77926762781,1589.51369790134,1690.22944180684,1538.54796277984,1792.42944180684,1541.92262442426,1419.84393872488,1209.34040942925
