"","GSM160402","GSM160407","GSM160409","GSM160411","GSM160415","GSM160423","GSM160425","GSM160426","GSM160372","GSM160386","GSM160387","GSM160403","GSM160408","GSM160410","GSM160412","GSM160416"
"GUCA1A",20.2456583935402,19.3812345092266,19.4354300662451,19.6168482885934,21.3252388727319,20.1899751009735,19.228352150396,18.5150888433437,21.8801445278973,21.4232105883754,20.6023092525444,20.4491459641368,20.6013146667783,21.4087977607642,18.4722887160458,20.6294242965301
"CCL5",85.3246119284464,272.476882371295,160.679619071084,198.630025579543,213.455005991641,634.745058979211,953.190935093966,675.70172688709,99.4983877084985,476.297402699981,274.217168133336,207.924137063285,207.880704467902,134.017085590352,106.061191003765,528.958035034419
"PRPF8",1924.84888010824,1787.84167883435,1651.88568018372,1887.95259536471,1843.07462277741,1423.87273272624,1565.24167127606,1494.25829279715,1732.58264545044,2009.08045395711,1877.27657260127,1970.14657367342,1856.73304187288,1886.16144934385,1814.29660239517,2020.36706490953
"CAPNS1",3739.29479627837,3951.30582043333,4245.71667950204,3838.83094223176,3230.80109157059,3045.48304187288,2217.79554187288,2305.52429857706,4578.17054187288,4001.35804187288,3687.09603562958,3798.54006241138,4131.9508728127,4534.50013143756,3984.42054187288,4060.26585869109
"RPL35",7455.98768678421,8066.51141066216,8221.32679187289,7462.91456974987,9287.78348608961,10392.1589185137,8585.67054187289,8581.86399148235,9670.35775595824,9422.17054187288,8202.67102066312,7556.92054187289,7706.0209505988,7182.73675234645,7461.99796175651,9514.33934980858
"EIF3D",2708.67628204281,2800.39834221506,2678.17663786026,2669.10184073512,3059.29554187289,3078.04986816315,3023.30506294387,3184.85851810018,3822.55992211666,3154.25348580935,2839.53680410049,2740.44224760593,2572.18341042274,2615.72008331239,2685.06128823789,3129.09149884241
"PARK7",5513.47716938452,5355.07097677088,7475.28647550908,5416.30390831089,5796.68834542869,6431.99839080565,6025.95044261688,5857.34285171718,5238.85019088113,4609.16906121577,5921.56539688714,5515.21601794029,5613.81575540466,5697.24650095644,5923.01118557561,5223.20654868446
"SRP14",5284.13215193357,5862.23159943155,6441.42019384157,5470.60437441401,6055.05595922777,6381.17054187287,6160.07828268744,5888.4890387153,5779.72155999496,4977.73859622906,5681.34647041346,5611.06863733287,6072.30658560721,6114.39407735229,6157.37178631408,5973.80327186988
"RPL11",7287.22373937938,8683.42501936796,8241.5805493467,7211.85804187289,8720.66744814602,9313.23304187289,8441.28479999119,8510.79554187288,9270.37250230712,8592.11841840755,8216.04873821605,7929.62422682877,8183.53556386614,7901.87534706173,8196.78697236999,8416.48304187289
"RPS27A",7249.01240301814,7374.12271861062,8114.74183439006,7343.45315408017,8932.63391749398,8869.16152105886,8366.18271529548,8367.21117947099,8552.61418725652,8568.63375372579,7936.11904370259,7871.00175500292,7353.23613589153,7555.40495457058,6988.40692287619,8462.35831568334
"FAU",5185.64912990926,5801.18853911091,7526.0838485462,6099.00702326297,8948.42422120366,8915.51967363055,9514.9269516056,8517.63998962114,7246.47507191636,6989.4360736239,6539.11167621516,5619.01633067178,5942.8071195367,5763.77205644136,6227.90488512771,7689.92032996779
"CFL1",10140.2862095629,9613.87857775858,9937.23940175375,9738.3912072417,8190.32853076103,8307.35804187287,8616.23529553376,8880.95441223716,9379.1859219206,8676.11687210707,8807.34792045838,9468.41963334804,9750.8566060619,10489.640168175,10049.3744321885,8528.26363031182
"RPS5",9293.13352582085,9668.85804187287,10408.1462985805,8348.67054187288,9044.6328992583,10196.4415795224,7914.11937075851,8173.69587902742,11275.7955418729,9623.67073757108,9216.30753030629,8968.04778452215,9845.63016287126,9234.16249035516,9938.77128066706,9979.76155187279
"RPL27",9671.59527494368,10378.4266998456,11508.3642121497,10728.5589858133,12141.4765733842,12885.2047393069,12482.4556330381,12054.8818623171,12341.2923666604,11061.9388108329,10785.9820171949,10344.4254207167,10291.7955418729,10165.7251064878,10667.558337601,11654.3168781472
"RPL34",12764.3000913195,12161.4572426457,13295.9307814231,12249.9285636531,15226.2955418729,14160.1037097871,14388.3580418729,14064.8369574498,13330.4337178587,13673.3763406309,12841.3581149134,11746.1869677845,12056.2994074695,12142.4027500277,12179.1662698229,15021.8357659029
"NARS",3592.40017807049,2766.3771864695,2831.1475657249,2491.56876373184,2570.87542468569,2981.58786150719,2724.23157962515,2774.55663642097,3453.9916834292,2568.72998199769,2592.52131920232,3311.76294684257,2448.45236746109,2886.64010834697,2685.06461066577,2620.10804187288
