"","GSM175776","GSM175777","GSM175778","GSM175779","GSM175780","GSM175781","GSM175782","GSM175783","GSM175784","GSM175785","GSM175766","GSM175767","GSM175768","GSM175769","GSM175770","GSM175771","GSM175772","GSM175773","GSM175774","GSM175775"
"CYP2E1",22.66021,24.049564,28.933277,23.164011,27.884777,24.492615,22.432264,27.176565,23.287518,23.579237,26.789356,26.47653,29.821848,25.935244,27.657124,24.798738,23.497404,25.679756,31.079885,21.760849
"CYTOR",60.44836,97.61711,43.4981,53.24747,44.494278,62.686996,52.984657,63.30519,46.798145,48.718174,68.03739,53.8658,43.23358,45.281105,56.470108,45.10145,59.34777,58.08225,51.76139,58.26294
"ADAM32",24.5788,26.128016,15.437744,19.032734,29.0235,20.388311,19.408112,16.498814,27.275068,19.475304,18.92855,20.058346,16.41358,19.060179,17.984634,16.249126,17.029182,17.254566,19.08822,15.736381
"TIMD4",21.506332,17.378202,23.364794,22.840773,18.724064,20.138744,18.04977,22.562439,15.720769,19.202976,17.656778,18.314562,18.139555,24.02342,19.054281,24.773033,16.869116,22.274242,19.395632,14.722203
"ATP6V1E2",51.073254,53.98431,38.26736,42.425003,46.63308,50.496563,45.57565,51.690258,46.909103,43.059845,37.300373,47.636375,41.54144,29.535915,50.2928,33.786095,48.103268,44.130646,45.6865,53.636215
"AFG3L1P",174.88312,121.23848,130.53845,126.53657,158.68736,143.41098,125.16135,104.34783,158.68079,116.50177,143.90823,135.46365,129.9114,130.38144,154.68214,144.91028,157.20998,157.1761,138.70094,116.303444
"BEST4",32.64342,40.03053,26.406378,28.474014,35.577087,25.9837,30.49457,29.856686,24.213732,25.16411,28.992987,25.646091,26.340914,32.118046,21.060797,24.146282,23.863337,27.92885,34.9933,22.612204
"CORO6",43.63775,44.11825,38.08749,48.00039,37.19503,50.200172,41.80855,44.925694,37.525375,40.27166,50.35771,38.537685,36.323517,45.19472,45.18145,38.273136,40.486923,40.62811,44.803207,42.998188
"RAX2",120.60992,106.24514,124.28994,115.95851,125.7184,142.68018,120.83125,149.18533,121.611244,122.03803,127.90305,123.101326,137.63292,107.98688,117.67215,136.46259,122.836,118.12341,107.82876,122.87408
"GIMAP1",68.25303,48.117,55.86392,48.196785,82.14495,70.144104,49.52482,61.166477,81.48502,52.605415,91.16325,87.20172,99.02414,136.15164,91.49209,96.14788,95.58206,98.30344,99.89216,63.104378
"CCDC65",23.159025,24.14258,19.916111,18.26604,21.70728,17.456142,20.706892,17.68356,16.589298,22.228327,17.801928,13.261778,11.480243,20.77657,14.070101,16.042368,17.254213,17.141848,14.827649,14.506395
"ARMCX4",82.75319,75.43003,68.788734,36.975822,108.21729,55.866955,73.100784,36.31646,79.9857,44.267174,113.991135,99.04718,138.80919,101.55618,94.707634,101.40646,97.71929,126.34424,87.837135,51.507202
"CATSPER1",81.59794,71.1979,103.35752,94.96707,90.08437,90.54258,67.35969,89.1213,88.75696,83.69581,57.37016,66.56899,62.492702,62.513,65.290085,66.41405,80.97672,77.31802,66.219315,94.66727
"GSC",39.72852,30.366596,44.171318,38.530144,32.735435,35.432022,34.87736,41.60711,40.312294,34.109253,36.97252,34.806213,34.984554,40.506416,34.103844,40.854656,35.996353,43.875042,31.23614,42.12078
"SP7",37.628155,28.067482,33.82896,30.33749,29.524046,29.056458,31.698784,43.095585,31.02371,29.595642,29.163166,31.68423,44.119705,31.69576,35.187145,32.412865,30.903084,26.081013,24.803942,33.18589
"LEAP2",42.46625,44.595894,45.18145,34.082035,35.46828,37.988403,39.24709,39.722183,53.180595,44.25471,32.41285,37.88969,43.16547,37.4758,32.43483,36.87569,39.14312,32.87245,35.603855,26.72512
"CTCFL",15.331696,13.276783,19.486382,15.769236,17.095161,16.186132,24.181177,15.694165,22.518967,16.067974,14.783937,17.001726,18.221079,19.518023,16.446,20.461073,19.61942,19.56874,18.71355,15.954844
"TVP23C",136.53671,133.7401,99.60212,126.24674,149.49326,132.5794,146.19662,120.44486,133.36742,139.1061,117.32813,91.29877,112.98142,117.184105,132.04376,103.22996,111.18219,94.867905,104.956635,115.01778
"GAPT",16.300549,14.6131525,12.435476,17.648596,15.048276,17.03709,15.980275,17.302732,16.388988,17.214691,22.209108,17.172682,11.920028,15.716849,16.273909,16.025282,16.334787,16.51995,12.752669,17.293287
"CCDC185",15.903449,18.134193,24.523718,18.308847,21.019367,22.608112,16.612797,21.03842,17.479252,21.252214,25.338171,19.598423,24.191961,21.58678,20.07677,29.761587,17.899641,25.15426,20.820438,20.960865
"TSSK3",158.83757,162.77869,166.10179,140.3066,140.18762,152.85576,146.01869,174.33708,154.6949,148.22984,169.02971,116.96884,160.00381,149.20363,133.73378,170.10866,143.74014,138.07024,128.40941,132.57953
"WFDC6",40.92477,40.053253,43.824627,43.655376,43.986294,53.1976,42.78629,35.049965,40.583073,48.402164,40.39204,35.546013,40.914886,43.280704,47.67479,49.55939,41.860725,35.000504,36.156227,43.58988
"TMEM266",35.71553,35.055817,40.282722,40.318214,32.780663,40.546696,34.01152,31.19061,35.33505,41.074425,32.928436,37.53545,40.249657,43.24023,41.39016,32.12768,49.283424,31.488253,38.581566,30.805628
"CALML6",24.816511,27.758104,30.247854,23.424292,30.467093,31.328213,28.152012,28.339508,37.200245,33.42459,30.249615,27.775898,26.546394,33.781116,32.012646,42.990276,30.524147,37.319088,35.72455,25.896399
"NLRP5",33.729,45.97587,42.39195,43.59857,43.508938,33.06145,47.054207,40.893764,34.15747,37.73551,37.690483,43.34703,43.28905,32.025097,40.314533,52.31764,28.430145,33.523186,35.296276,38.60468
"CLEC4F",61.562317,62.726524,58.7292,58.378487,54.736305,57.400944,57.42279,61.879757,54.88023,60.579884,53.647827,54.56939,67.80977,53.07692,63.935093,55.928074,49.485893,54.60583,55.23926,61.601315
"CALR3",15.189888,17.376795,14.226318,16.300941,16.462841,15.836176,16.632057,16.686575,16.365139,14.955824,15.52657,13.090949,14.408287,18.999166,13.758852,12.834743,17.848206,17.562824,11.241258,16.108486
"C10orf25",40.331722,39.041656,31.232916,23.017237,31.074211,41.759537,30.427269,28.311111,40.9612,33.207348,35.834095,34.386414,24.645607,29.198486,27.27516,32.683964,25.665041,23.1384,20.467371,28.687386
"ZNF485",21.305468,14.534306,16.273401,14.202456,14.9032755,11.824469,17.654442,20.429096,15.790967,21.515083,19.29696,16.462479,13.686348,18.196138,17.134394,17.660942,16.845102,14.563922,19.978317,13.5748415
"MFSD6L",73.98008,63.036053,66.06216,69.52536,70.06671,75.767044,64.43543,79.969604,66.25962,79.80763,71.00841,57.1987,70.78721,63.022465,56.509487,57.95272,48.769806,47.73564,73.69074,62.366722
"ESX1",75.9863,50.333755,53.395676,47.225452,68.69083,48.66866,50.829216,59.651802,54.855873,62.770477,41.767773,38.730324,42.3986,47.801365,45.24467,46.525692,42.130764,40.612488,44.967968,53.50392
"FAM167A-AS1",21.476522,22.999506,25.30339,28.621151,26.489525,24.201294,26.202518,27.047125,34.310516,26.08569,30.60076,27.293257,22.9229,28.940107,23.13408,28.164814,30.846506,27.321266,21.07773,24.009901
"DNAJC5G",51.881176,51.443424,56.631927,66.47738,54.924812,56.775097,48.499462,49.518654,46.473953,69.04921,47.303974,50.160862,49.480656,52.213116,62.279293,42.362076,52.137547,43.9763,41.663013,52.414547
"MBD3L2",33.2787,26.512941,30.418211,29.978594,33.574635,36.565845,35.21146,25.049582,26.162144,34.814552,34.950836,26.710075,29.765156,39.0578,43.1789,37.988033,33.85749,30.029018,27.007528,42.509457
"FAM46D",14.012277,17.91712,15.100925,15.249561,15.1820965,14.815557,13.244086,12.90973,14.215014,13.236712,12.707247,11.496228,15.665816,11.886848,13.079603,14.026415,15.956644,19.906546,14.800549,15.525693
"SERPINB11",14.615947,15.758516,19.66215,15.999264,17.727634,18.24422,14.748623,16.814339,32.156075,17.396954,17.0833,16.617443,17.28173,15.754775,16.086506,15.612381,17.861763,13.149147,14.481915,26.084452
"IRF6",24.167984,33.06448,39.862614,28.17632,34.236286,24.981394,31.282236,28.714434,25.96885,42.08023,15.680488,19.777714,16.523808,14.223531,13.239332,15.100925,15.103957,20.36235,17.414686,17.21894
"AFG1L",27.139736,18.380922,20.747942,23.43957,20.486807,17.6028,19.701923,24.719332,20.189356,20.686136,20.241043,20.550364,25.616167,19.119963,18.733679,19.968449,21.153225,23.182625,25.454426,23.533638
"IDI2",62.83825,54.34708,72.65414,60.19662,80.706726,92.48303,76.841576,79.12579,86.90392,65.003174,51.562176,54.590576,60.635777,57.39651,67.32315,53.329952,73.72905,39.996872,49.638905,78.75349
"SLAMF6",60.862186,51.33027,52.432106,66.50794,72.21855,61.25337,57.766106,68.830734,67.93645,56.043507,63.287506,47.73563,43.16546,52.213104,84.7006,54.338398,57.349346,52.74712,37.10851,48.24031
"GPBAR1",59.724804,62.587208,56.71535,101.315254,66.553406,64.84643,63.014534,71.05976,64.16082,57.189648,62.905193,53.37419,48.10373,71.7762,71.10294,64.79617,69.006744,53.640408,70.96806,66.01914
"BRSK1",46.456005,64.70481,66.7757,55.444935,57.80394,64.5829,54.901405,33.75129,54.40397,48.47493,63.541416,77.661736,58.308685,55.610184,73.76151,75.71716,58.236664,72.46274,58.648155,66.82275
"CRB2",29.697206,27.30854,28.802666,27.300488,23.088533,33.253624,34.877193,29.00786,27.639114,26.711056,28.689526,30.064644,27.35092,25.250448,28.425787,34.296318,23.584984,28.383419,26.889315,32.672047
"SLC34A3",362.01062,292.8526,369.3709,345.091,374.01767,374.1989,400.38666,504.2182,293.4285,351.66248,323.6952,337.75827,297.51285,335.97046,303.4858,291.14307,320.84616,358.2265,332.02304,364.8842
"WBP2NL",15.106103,16.677874,16.049595,15.626268,23.561255,14.144119,16.622694,13.246638,15.836799,16.23605,18.005804,19.837145,15.35062,19.789392,11.075459,23.722729,25.75413,15.99802,20.166428,12.532784
"ART5",89.9086,78.03617,76.38751,108.39738,79.89376,89.27412,67.008,65.57776,64.088806,109.33948,77.14755,77.84867,81.04637,68.349525,66.8645,89.3469,86.98108,68.9459,82.60633,77.747505
"FAM71C",40.877583,37.337467,34.87988,38.069496,36.35241,34.071774,24.889103,34.22426,23.943733,28.886833,38.43146,29.248611,36.61408,30.810844,34.40379,31.33714,32.785183,35.832344,20.265142,34.038063
"NLRP11",24.670969,32.359085,37.279327,29.558289,26.976566,36.581516,28.928917,28.628057,36.92045,28.438686,28.886042,36.24871,24.059177,25.261227,31.779806,26.12718,27.390858,23.280617,27.918304,30.764973
"IQCD",51.929836,54.7468,44.379707,40.92023,44.24781,53.905087,43.637028,49.126034,54.015274,57.1683,42.06014,45.368786,44.327744,33.71804,41.865566,61.737022,37.525116,42.7263,52.826923,30.764364
"SERPINA12",36.159527,39.67748,36.30325,43.36321,38.343727,38.64352,37.131218,48.49738,32.75553,33.84557,29.184692,35.19558,37.84696,32.18518,40.21031,34.173943,29.419392,25.79419,36.435833,41.55725
"PRSS36",56.321987,69.19265,59.210453,62.44573,61.479298,77.21626,53.68936,86.50979,55.170475,48.22598,60.94164,60.393417,65.11383,72.71524,62.275253,63.77968,51.252052,63.160793,54.670444,51.71416
"ZDHHC15",30.765259,21.421375,23.910885,22.415184,26.970503,38.856907,29.608988,19.626783,27.187998,24.15841,24.423067,22.121342,36.29054,25.385456,26.097683,29.17805,25.098297,18.596287,35.105804,16.966246
"RAI1",88.228065,85.40205,84.133835,89.210754,87.89483,79.60889,76.11351,73.39435,84.160515,69.99565,69.12742,76.563354,75.39849,80.79895,94.038925,71.96417,84.018974,93.243774,69.82251,90.82235
"NUDT9P1",25.619587,20.571178,23.72624,25.2273,20.462063,27.044392,23.082413,31.352728,21.101156,22.983545,22.878225,21.66325,29.778358,31.5788,19.088638,25.098207,26.428844,22.296799,30.489023,26.09762
"BTBD16",17.27432,23.727468,26.605473,21.99395,20.480595,28.083473,19.149292,21.264292,26.646723,23.362566,20.148733,19.371115,20.254457,18.953642,20.575985,18.400211,20.62306,15.843963,29.21038,21.867828
"ALMS1P1",36.76722,48.252754,42.675182,39.512608,65.20567,44.617565,48.516357,44.46383,38.163143,45.16354,58.536285,58.398117,61.80359,47.777496,51.79754,73.68118,59.34777,60.309532,63.80806,45.667267
"TRIML2",39.69202,34.918423,37.579445,41.512817,42.859802,35.653847,35.76926,35.906284,37.804493,33.548836,36.07108,38.591106,41.72901,37.307087,40.844185,47.19675,37.687454,39.713406,38.8982,43.830387
"GTF2A1L",12.901203,14.899666,16.85534,15.821032,12.450081,14.210345,14.798477,15.283893,15.375491,16.716484,13.329367,14.803128,14.743933,15.339206,15.130303,16.042368,14.74337,17.390965,15.99341,15.57953
"MMP21",9.440439,9.597633,10.487629,10.012339,9.399386,10.390088,9.955771,12.178974,10.290094,10.9215355,11.063082,12.821212,11.722753,12.998583,13.679315,12.587273,11.105301,11.341828,10.96984,9.372057
"TMEM190",64.06779,95.4133,83.48456,68.46879,67.327065,61.17269,74.83304,80.37725,67.23162,62.10939,59.37548,63.170403,53.777576,52.2301,60.25207,50.388626,86.07038,51.851944,66.711,56.321262
"GAS2L2",83.52115,80.50114,98.731155,85.02907,77.044136,73.65129,87.97282,99.29492,91.51234,98.266365,78.84118,75.849174,104.18813,85.33358,88.785576,82.628395,73.33852,82.10117,86.49015,80.03304
"KCNG4",31.025597,34.910023,34.384743,38.77717,39.44449,41.099983,35.43189,52.54015,30.870108,32.44711,36.66646,34.87524,39.73553,37.418785,33.848606,30.872059,43.25516,41.627747,40.911434,41.032005
"PXT1",20.960032,18.30731,27.827295,26.311672,20.636526,25.001045,22.75581,15.206929,26.62284,24.20968,18.737434,18.310545,16.622694,24.534315,28.06841,31.733992,24.030811,25.637661,25.002905,30.681528
"WFDC11",41.711983,35.590042,43.67884,44.113487,46.848434,37.883213,35.43248,28.608953,50.38394,38.017616,39.263496,37.44511,45.58607,34.432068,42.059887,41.813496,41.912228,45.64418,40.32031,48.64039
"SPRR4",143.87166,150.205,185.51866,182.41469,180.10167,172.51079,170.53862,131.67368,141.44412,174.44228,145.66693,158.75261,175.56842,173.3814,187.0108,171.60765,157.19476,135.57726,145.11052,135.50758
"HSH2D",32.506096,26.893616,26.748783,29.315918,27.83202,29.033094,25.184422,34.26782,26.144255,27.999615,22.647446,24.151413,24.828112,27.475,20.277868,22.414013,24.663294,23.411304,28.008595,28.589548
"JMJD1C-AS1",64.813446,67.837456,50.16122,38.131084,51.883724,49.450157,56.85217,88.01213,53.99892,70.43244,30.653202,37.7564,51.88209,35.782787,35.317505,38.345234,41.28432,36.32059,46.551643,51.499626
"RFX6",10.503,12.046984,11.212461,14.963538,11.579653,12.450466,12.455237,11.585446,9.981435,11.697031,9.229021,10.279452,9.187469,10.841376,8.814657,10.978872,12.223954,11.433253,13.371226,11.557612
"DIRC1",9.545125,11.601653,12.131898,10.313554,10.689692,11.57684,8.808842,11.168565,12.191606,12.461977,9.104075,9.117929,12.366808,10.073459,9.653565,9.182198,10.758049,9.81425,8.669495,10.928354
"DNAJB7",12.071999,11.585519,11.252718,10.765854,12.729258,11.507092,10.131873,19.0439,16.22805,9.787788,11.031427,12.070505,11.923223,10.120881,12.19349,12.189571,14.915588,11.720497,11.663381,11.694324
"UCN3",45.521214,41.795444,70.31338,50.608498,55.368423,53.712303,55.46831,46.700684,74.38134,45.52932,63.653805,48.402035,54.19897,51.066277,66.94295,71.91947,60.020836,69.315094,45.071365,72.20674
"KNL1",96.62661,76.53955,46.618717,24.033545,49.32186,24.794636,38.46403,81.54745,51.473286,53.552647,27.804031,20.37277,24.746994,18.742855,19.054281,27.054949,25.75413,23.687529,19.065039,24.60837
"TUBA3FP",35.543274,54.887165,47.34685,45.978004,57.5589,39.87386,69.576836,42.47116,53.54593,56.579025,35.00139,37.233593,65.30456,59.63869,59.235924,57.785748,53.006554,49.039486,51.11305,41.39016
"RHOXF1",58.254715,53.154877,62.285233,60.49822,50.580124,62.805447,52.513287,63.211624,45.634018,54.66995,46.521976,64.20513,62.8887,60.992226,55.839203,89.3469,60.421906,87.03397,58.999725,57.214058
"DHH",24.64274,23.78017,28.322487,25.816086,27.369066,25.93425,26.799871,44.099953,25.058338,30.772163,24.58183,24.621405,37.650204,32.257656,28.650482,28.676266,27.716335,25.022364,35.538147,37.837532
"C2orf15",13.410655,11.805567,13.965923,10.413034,13.241542,14.963206,14.840622,14.605524,14.01239,13.167461,11.926477,11.824156,11.679161,10.710187,11.560211,9.6765375,10.758805,10.336915,9.941744,11.380533
"KCNH8",10.69671,11.114561,9.601382,11.811648,12.295862,10.772479,12.170141,11.398075,11.569357,10.523258,12.60932,11.11595,12.438287,11.953257,11.988602,11.200796,11.810263,9.8061905,8.738412,13.141375
"SLCO6A1",23.299986,26.6287,21.921904,23.008183,26.669807,30.065548,20.50082,24.401361,18.736551,20.676876,24.820736,21.609726,29.680325,26.922947,21.004894,29.60721,25.484016,22.556162,25.72798,24.653929
"PP2D1",9.872457,10.38562,12.826192,10.056836,9.951476,11.645816,10.604946,10.729043,10.526861,11.31082,9.500448,11.725241,10.884724,9.71058,9.815673,10.192211,9.600197,13.547246,9.731393,11.137629
"C9orf66",17.075062,17.056524,21.225985,21.964876,21.192993,17.797285,18.926779,19.054287,22.889475,19.372002,19.398632,19.918537,18.65204,20.478413,18.426903,23.155016,22.15836,21.86859,19.560396,19.159754
"ZNF625",21.943735,23.785048,24.028221,26.201,27.593914,30.940536,27.722977,39.238182,30.109535,30.450289,19.296955,29.373121,27.53039,21.614843,28.273228,25.513355,21.261995,19.272964,20.306843,25.299856
"ZNF563",41.984657,35.732376,40.50914,31.615685,39.77775,43.336605,40.497463,34.39314,37.555557,43.932266,35.467537,38.381805,35.12202,44.433407,41.91738,42.518883,38.83658,40.008415,43.89807,38.53243
"GPRC6A",63.40192,73.62429,69.70827,80.28279,60.22108,53.032925,57.84549,63.29885,60.784225,64.8593,72.39601,61.503548,59.969025,51.405132,63.186974,61.413227,58.637527,57.77663,61.258335,58.151196
"RAET1E",38.196915,31.037575,32.15773,34.215576,35.358208,34.358093,33.77044,41.21711,30.024982,31.261553,44.137253,33.136814,34.094357,31.859547,34.791096,33.13592,36.602768,33.59079,40.944016,43.60214
"ZNF417",10.034353,15.895921,10.506396,12.970483,13.445818,11.441237,12.920966,14.150943,10.835037,12.051914,12.774345,15.203246,15.695662,19.377161,12.5861,16.415745,21.153225,14.941781,12.112461,9.32211
"SOCS4",13.430814,16.495115,19.513891,17.382711,14.020517,16.102324,14.452552,10.170218,13.84883,14.468108,17.284569,17.122862,13.115542,11.383657,13.583023,13.802264,10.453867,13.547246,16.347204,17.034271
"C8orf31",118.073746,151.89545,129.0807,70.709854,158.56325,127.45216,129.3554,125.44306,136.41638,122.43882,85.39076,66.76831,58.516193,62.14654,67.07085,71.42406,68.17152,61.34822,62.06377,46.125088
"STMN1",17.224504,19.501612,20.133932,20.87608,19.433077,22.2196,21.454443,18.621931,18.764872,22.382822,21.00146,22.093548,19.786924,27.900398,22.062702,20.196434,18.90816,21.848827,23.462807,18.757732
"WFIKKN1",56.168606,51.86406,61.855537,70.709854,66.15361,60.031998,77.19715,66.59937,77.425865,77.99927,85.26756,69.08926,61.131985,80.31855,72.25403,74.4735,81.45325,73.2735,67.99241,65.67834
"NXNL2",27.877764,37.625607,18.376791,15.101804,24.987762,26.22957,35.84964,17.670797,20.43362,25.932066,16.22178,17.715656,16.95627,10.788805,14.984019,16.23885,20.115858,14.327796,13.55193,17.366266
"LINC00205",30.620186,40.13263,35.789783,40.836765,29.747234,37.079254,44.218956,46.844505,31.273138,35.635136,38.229496,40.494858,34.422276,32.522026,36.679478,36.35516,30.538815,30.992298,39.110962,37.066242
"FBXO39",45.018246,46.425957,40.653397,47.63757,40.575127,45.466904,42.816048,38.364273,45.809097,43.486515,40.85525,35.09275,44.78267,41.85818,47.14461,40.197506,42.02131,43.091488,37.08822,40.51532
"ZNF619",76.05144,61.30123,73.576065,70.31724,67.28602,65.595276,67.29529,75.33438,63.604984,73.121635,54.616196,50.30297,75.15828,56.483143,59.299427,49.680996,55.742184,41.494373,54.776257,78.935974
"FAM71D",22.218489,24.658537,20.789894,23.422861,19.527723,21.838379,26.592182,27.242346,20.165943,28.426748,22.366983,22.119896,23.64082,23.858625,19.054281,20.778734,17.05416,22.299185,24.737284,22.252357
"RAB42",135.66469,133.65428,157.54227,122.42317,137.86392,101.66815,116.25621,171.08083,133.36742,144.47313,115.8709,136.07063,82.31921,158.31847,133.67603,124.787346,106.26257,114.50732,95.556404,84.204956
"LINC00311",32.80619,29.490221,45.18145,23.799818,42.38238,25.5541,36.701057,33.914867,44.041973,31.038929,33.26765,34.08818,31.840746,33.376167,26.172855,40.715107,34.037186,26.841953,42.712784,35.765312
"MAGEB6",8.734071,8.144373,10.170282,8.474047,8.207616,8.440007,8.083932,9.797076,9.241146,8.746979,8.611467,8.624162,8.648331,9.663391,8.246935,8.304892,7.8893867,10.435965,9.114554,8.8087435
"LMNTD1",47.04088,63.276672,52.717136,54.045856,57.456535,50.81859,55.807873,58.129074,43.561066,49.78882,41.47991,39.41982,43.721195,37.91824,51.979332,38.341396,62.905525,42.930744,39.99146,59.29657
