"","diseases","controls"
"GSM239170",0,1
"GSM239323",0,1
"GSM239324",0,1
"GSM239326",0,1
"GSM239328",0,1
"GSM239329",0,1
"GSM239331",0,1
"GSM239332",0,1
"GSM239333",0,1
"GSM239334",0,1
"GSM239335",0,1
"GSM239338",0,1
"GSM239339",0,1
"GSM239340",0,1
"GSM239341",0,1
"GSM239342",0,1
"GSM239343",0,1
"GSM239344",0,1
"GSM240430",0,1
"GSM240431",0,1
"GSM240432",0,1
"GSM240494",0,1
"GSM240495",0,1
"GSM240496",0,1
"GSM240497",0,1
"GSM240498",0,1
"GSM240499",0,1
"GSM240500",0,1
"GSM240501",0,1
"GSM240502",0,1
"GSM240503",0,1
"GSM240504",0,1
"GSM240505",0,1
"GSM240506",0,1
"GSM240507",0,1
"GSM240508",0,1
"GSM240509",0,1
"GSM239345",1,0
"GSM239346",1,0
"GSM239348",1,0
"GSM239363",1,0
"GSM239371",1,0
"GSM239460",1,0
"GSM239485",1,0
"GSM239487",1,0
"GSM239488",1,0
"GSM239489",1,0
"GSM239490",1,0
"GSM239491",1,0
"GSM239492",1,0
"GSM239493",1,0
"GSM239494",1,0
"GSM239495",1,0
"GSM239496",1,0
"GSM239497",1,0
"GSM239498",1,0
"GSM239516",1,0
"GSM239520",1,0
"GSM239580",1,0
"GSM240405",1,0
"GSM240406",1,0
"GSM240427",1,0
"GSM240429",1,0
